Country_ISO,Year,DeathRate,Population (GPWv4.11),CO Population-Weighted (ppm),VOCs Population-Weighted (ppm),SO2 Population-Weighted (ppm),NOx Population-Weighted (ppm),O3 Population-Weighted (ppm),PM Pop.-Weighted (kg m^-3),HospitalBeds
SGP,2018,22.66,4899527.15,0.175256372,0.021355469,0.043740145,0.013489384,0.0601924331764127,2.66719e-08,2.58
BRA,2018,23.48,205299664.46,0.14740961,0.049671047,0.00600372,0.008101107,0.046143672493889,1.45776e-08,2.3
ECU,2018,23.39,16297516.86,0.173979036,0.046791983,0.001423611,0.007956886,0.0422508588034268,1.63452e-08,1.4
TON,2018,24.32,67896.36,0.050758729,0.000506694,0.000266089,2.34e-05,0.0512590171390729,6.25145e-09,2.48
COL,2018,24.47,48978625.95,0.194531201,0.058077767,0.002803602,0.008657739,0.0395081412703721,2.04985e-08,1.73
PRY,2018,24.73,6748490.08,0.147960701,0.117586178,0.000560926,0.003073195,0.0395806063595009,1.12077e-08,0.9
GRC,2018,24.81,10032035.62,0.143745787,0.010075003,0.009469775,0.009672352,0.0610649293846369,1.3296e-08,4.2
VCT,2018,25.94,54818.72,0.076441291,0.001115764,0.001081637,0.000364539,0.0564408761925005,1.7702e-08,3.1183333333333336
PER,2018,26.13,31864619.59,0.149927394,0.053748208,0.002949679,0.007231728,0.0409251300342371,1.34648e-08,1.61
ARG,2018,28.14,44394705.97,0.119175867,0.043495351,0.001559696,0.01002214,0.0438662233229662,9.76999e-09,3.69
MUS,2018,29.39,1173995.04,0.066990466,0.000767722,0.000940187,0.000704054,0.0514619531673621,8.32637e-09,3.56
THA,2018,28.58,67270426.73,0.327256587,0.058312857,0.024113799,0.016152544,0.0527039074771846,4.05012e-08,2.1
DOM,2018,29.68,10662825.79,0.128914224,0.021880953,0.002726873,0.011268312,0.0542562773811346,2.08451e-08,1.24
MDV,2018,29.65,2884.52,0.10379733,0.001050888,0.000370686,0.000123513,0.0561717662665992,1.26595e-08,4.95
GRD,2018,31.01,84145.91,0.076330484,0.001003631,0.000499276,0.000270441,0.0562067017978719,1.79015e-08,3.34
MEX,2018,30.76,130796482.79,0.244826022,0.057065802,0.253901899,0.02244559,0.0532625934562438,4.09724e-08,0.98
CUB,2018,32.03,10986611.94,0.098492301,0.012219302,0.002966465,0.003188218,0.0593973463912242,1.37269e-08,4.19
SLV,2018,32.08,6105500.1,0.211556901,0.089650164,0.009839187,0.015537489,0.0534979297046932,2.56246e-08,1.08
WSM,2018,34.38,172443.65,0.051333734,0.0005585,0.000298868,8.59e-05,0.0449267178614482,5.70509e-09,
KEN,2018,33.5,49538562.15,0.368018326,0.044988829,0.004523886,0.010879893,0.0457821865017164,3.74245e-08,1.4
VEN,2018,34.1,31770819.39,0.13568959,0.054554144,0.002298489,0.006090649,0.051311345931797,1.9964e-08,1.09
TZA,2018,36.42,58143216.77,0.157325163,0.039722456,0.00119816,0.002177475,0.042736429920007,1.42172e-08,0.44
HRV,2018,35.78,3928715.23,0.176138312,0.017106396,0.00755262,0.012022939,0.0559853785126687,1.51839e-08,5.7
SVK,2018,35.87,5412273.32,0.168296302,0.009801305,0.01006866,0.014674382,0.0521775975198686,1.41351e-08,5.7
LKA,2018,37.48,19673218.25,0.268374024,0.033593163,0.019199626,0.012734702,0.0557326034811065,3.78482e-08,3.81
CZE,2018,37.59,10544194.35,0.180000542,0.006695294,0.008078722,0.018530348,0.0528122695903387,1.60404e-08,6.72
PNG,2018,37.84,7897505.9,0.090057341,0.116214009,0.005118985,0.000872783,0.0326341342321303,8.80095e-09,
JOR,2018,37.72,7904037.01,0.301120293,0.016619221,0.064155495,0.039705663,0.0589061947807281,4.38518e-08,1.41
FJI,2018,38.12,779673.52,0.059583104,0.009109961,0.002032131,0.000528315,0.0475637845548587,6.48078e-09,1.9357142857142855
SUR,2018,39.24,551940.61,0.090236546,0.032207369,0.000609464,0.000276065,0.0494848760874582,1.59005e-08,2.85
NIC,2018,38.72,6232803.0,0.105282152,0.047223355,0.006222844,0.002737357,0.0480035947171921,1.55649e-08,0.95
TUR,2018,39.95,77914833.51,0.146260929,0.013502617,0.008492859,0.013550202,0.0570107087216061,1.62776e-08,2.75
LTU,2018,40.5,2801776.96,0.156792586,0.003217501,0.004072353,0.006873927,0.0545669287779943,1.19842e-08,6.43
LVA,2018,40.91,1881319.17,0.160827821,0.003630539,0.003095844,0.006352926,0.0550874213577044,1.18739e-08,5.49
RUS,2018,42.12,144771168.29,0.15425105,0.005944519,0.011487174,0.020018667,0.0515379845648983,1.13904e-08,7.14
GTM,2018,42.07,17333072.66,0.227519948,0.088957448,0.007380802,0.012514192,0.0474172595118578,2.50804e-08,0.44
