Country_ISO,Year,DeathRate,Population (GPWv4.11),CO Population-Weighted (ppm),VOCs Population-Weighted (ppm),SO2 Population-Weighted (ppm),NOx Population-Weighted (ppm),O3 Population-Weighted (ppm),PM Pop.-Weighted (kg m^-3),HospitalBeds
LUX,2018,13.2,13.317606802752625,0.15527011359883724,0.005834489217215343,0.0020834560972526556,0.018572922499454317,0.0509878119371906,1.326679991199601e-08,1.706564623164823
NLD,2018,13.77,16.63725325556712,0.13685667660940581,0.003352031659310635,0.0024500212453620026,0.019260840360061014,0.0525673121172349,1.1335999935747553e-08,1.423108334242607
DNK,2018,13.99,15.463085386840733,0.12317499200868698,0.0019670510858735535,0.0019041160199311984,0.009914945078584094,0.0573101109865414,8.356029965088382e-09,1.2837077723447896
GBR,2018,14.44,17.964898509744053,0.1290867112713662,0.0031061758370527627,0.004994610142772655,0.02111000759611278,0.0404531028202377,9.987149950128417e-09,1.247032293786383
ISR,2018,15.28,15.924560177370626,0.3096995033469688,0.012952729042526132,0.08817284863688618,0.053088718798104034,0.0591738037688228,5.034029873292714e-08,1.410986973710262
EST,2018,15.21,14.002347870037102,0.1373657912880068,0.003183501278228714,0.00850485893904557,0.009511535586703647,0.05544370638378,9.319449956573926e-09,1.7101878155342434
AFG,2018,150.4,17.364794739525365,0.16830676849627937,0.014455949450465497,0.002260907221997079,0.003886974915709028,0.0593662165082749,2.7943599609577617e-08,0.33647223662121295
USA,2018,15.97,19.60427269594084,0.15439671241590153,0.017420466713124215,0.010057975554318853,0.017182505616418237,0.0477100599059891,1.3026499915155149e-08,1.324418957401803
CYP,2018,16.05,13.925790502365757,0.11701097413802064,0.011017615557615974,0.007941679218943445,0.002853812002073427,0.0705388319730666,1.514989988524027e-08,1.1568811967920856
ITA,2018,16.31,17.868916786086434,0.16781951195663208,0.011359740139416026,0.004366086756486186,0.01986779674123275,0.0573235111137285,1.647429986429872e-08,1.423108334242607
URY,2018,16.69,15.010774974106878,0.08221770526587897,0.013613367201692485,0.0014578558116205833,0.0033512094197689912,0.0475419264794198,6.792069976933892e-09,1.2584609896100056
BEL,2018,16.52,16.26571711750193,0.15391543273025823,0.0038707589374783594,0.0043039377579735865,0.023363831615245332,0.050271951777424,1.4158099899774104e-08,1.890095369948917
CRI,2018,16.71,15.407839415656321,0.11484142536002484,0.034225610296347624,0.00394282882454921,0.008510595922141534,0.0485190059506622,1.3801799904755158e-08,0.7514160886839212
TJK,2018,170.1,16.028836990718194,0.16124080169031152,0.017551435460303466,0.008699209913799522,0.009057982333579379,0.0562226987954905,2.6588699646520523e-08,1.6752256529721035
PAN,2018,18.01,15.199839010451473,0.11584430063468239,0.02127078432014845,0.0020251899178467835,0.005735089887809538,0.0539231268624845,1.682899985839238e-08,1.085189268335969
DEU,2018,18.07,18.202673053746313,0.14702529675768064,0.005347771147915025,0.00290116953495803,0.019062261135916456,0.053452858126043,1.2171199925930945e-08,2.190535589185423
BRN,2018,19.49,12.875546639333617,0.22087189625853582,0.10934890863392892,0.003058878856232405,0.006992065438235273,0.0507641928025364,1.8764499823946772e-08,1.4861396960896067
BRB,2018,19.06,12.315404873486372,0.07346964124960739,0.0008624090184167381,0.0004355891172843257,0.0003317299715282987,0.0561886180549533,1.825819983331907e-08,1.9501867058225735
CHL,2018,19.19,16.71374098105743,0.33367157270645326,0.023657318809880902,0.06005313337154642,0.026997060674941047,0.0529587815082788,3.492619939008029e-08,1.1151415906193203
ATG,2018,20.37,11.211642248215066,0.07329892803720166,0.0011398641080015812,0.0019937771048432035,0.00038723101639162485,0.0582845175801998,1.488259988925411e-08,1.4955223883042061
AUT,2018,19.56,15.978241070192357,0.15547835693097053,0.008654517392002244,0.002752700840279874,0.016390572656615806,0.0532854036609869,1.399219990210917e-08,2.1126345090356
KOR,2018,20.41,17.67410340817469,0.4291623031584186,0.033125663518964815,0.07178503629754748,0.06815203421568526,0.0586492959140346,7.776579697624033e-08,2.5974910105351463
LCA,2018,21.01,11.977953423571966,0.07376794585133034,0.0013393057295529546,0.000874658374816373,0.00046084779334127805,0.0565635174228697,1.7239599851398097e-08,0.8576017355254755
TTO,2018,21.05,14.002115063159875,0.07937435360547584,0.006596281620345673,0.0007272934579836484,0.003513443622111231,0.0571451882514775,1.863979982627893e-08,1.235471471385307
BLZ,2018,21.34,12.85336011145615,0.09521223773542975,0.034572364763596895,0.0006626144225677895,0.00100741838365377,0.0518261901846596,1.5482199880150744e-08,0.712949807856125
MLT,2018,21.77,12.768569792646122,0.1041088756832148,0.0017376883447190125,0.005148224123284724,0.0047395465837344625,0.0687799882292686,1.3384399910428919e-08,1.6695918352538475
JAM,2018,22.34,14.818875494187713,0.11259664064196362,0.01073808287129495,0.006639373500010179,0.0065945153083781585,0.0602433609211071,2.0623599787333567e-08,0.9895411936137477
SVN,2018,22.07,14.545658947129327,0.17646327636228804,0.016467275109553006,0.006278305132068826,0.01640595336047937,0.0532560898463379,1.6448099864730008e-08,1.6937790608678513
SGP,2018,22.66,15.404649462525738,0.1614863127325484,0.021130636278244602,0.042810555222185354,0.01339921226206417,0.0601924331764127,2.6671899644304882e-08,1.275362800412609
BRA,2018,23.48,19.139981252470054,0.13750688860811588,0.0484768265128868,0.005985769483831841,0.00806846918250257,0.046143672493889,1.457759989374679e-08,1.1939224684724346
ECU,2018,23.39,16.606523375653833,0.16039886434697945,0.04573023306600165,0.0014225986265637468,0.00792539690903944,0.0422508588034268,1.634519986641722e-08,0.8754687373538999
TON,2018,24.32,11.125752432083992,0.04951250226805934,0.0005065656739413815,0.00026605360460078457,2.3399726224270892e-05,0.0512590171390729,6.2514499804596865e-09,1.247032293786383
COL,2018,24.47,17.70689457622481,0.1777538079951239,0.056453834515555454,0.0027996792381110936,0.008620475700523648,0.0395081412703721,2.0498499789905753e-08,1.0043016091968684
PRY,2018,24.73,15.72482949415539,0.13798706473302938,0.11117116131076443,0.0005607687398160645,0.003068482388959136,0.0395806063595009,1.1207699937193732e-08,0.6418538861723948
GRC,2018,24.81,16.121294192167156,0.13430865410354217,0.010024588492040975,0.009425217757891523,0.009625874262424646,0.0610649293846369,1.3295999911608193e-08,1.6486586255873816
VCT,2018,25.94,10.91180526221878,0.07366049940986787,0.0011151419979768017,0.0010810524521745147,0.0003644725718020284,0.0564408761925005,1.77019998433196e-08,1.4154485507724637
PER,2018,26.13,17.277006879865358,0.13969880472984558,0.05235352973936234,0.002945337232683026,0.00720570444327001,0.0409251300342371,1.346479990934958e-08,0.9593502213346021
ARG,2018,28.14,17.608630807908703,0.11259258141328167,0.04257599232634394,0.001558480937448517,0.009972251404990239,0.0438662233229662,9.769989952273647e-09,1.545432582458188
MUS,2018,29.39,13.975923906281015,0.06484203694698747,0.0007674274522095964,0.0009397453010339191,0.0007038062702524689,0.0514619531673621,8.326369965335782e-09,1.5173226235262947
THA,2018,28.58,18.024231288387995,0.2831140953625289,0.05667599577284036,0.02382765227856853,0.016023479618431792,0.0527039074771846,4.050119917982642e-08,1.1314021114911006
DOM,2018,29.68,16.182274118846998,0.12125630708197191,0.021645000652261857,0.002723161826888572,0.011205297508440857,0.0542562773811346,2.0845099782740907e-08,0.8064758658669485
MDV,2018,29.65,7.967460405334763,0.0987563531038679,0.0010503362037559264,0.00037061731291840414,0.00012350537289743991,0.0561717662665992,1.2659499919868531e-08,1.7833912195575383
GRD,2018,31.01,11.340319478802149,0.0735575558453111,0.0010031276991320057,0.0004991514032083121,0.00027040443742462394,0.0562067017978719,1.790149983976815e-08,1.4678743481123135
MEX,2018,30.76,18.689153114286587,0.21899577878647478,0.05549695849820562,0.22626020868804678,0.022197394805036637,0.0532625934562438,4.0972399160631245e-08,0.6830968447064438
CUB,2018,32.03,16.212188084155574,0.09393860416981058,0.01214524896990538,0.0029620737249343113,0.003183146409690143,0.0593973463912242,1.3726899905786109e-08,1.6467336971777973
SLV,2018,32.08,15.624700742420622,0.19190622756730008,0.08585669426671533,0.009791097384112915,0.01541801814665315,0.0534979297046932,2.5624599671689945e-08,0.7323678937132266
WSM,2018,34.38,12.05783159439868,0.05005958097602514,0.0005583440969202125,0.0002988233478557978,8.589631080626632e-05,0.0449267178614482,5.705089983725974e-09,
KEN,2018,33.5,17.718261977769583,0.3133632153094609,0.044006195407483274,0.004513683984660883,0.01082113278320798,0.0457821865017164,3.742449929970341e-08,0.8754687373538999
VEN,2018,34.1,17.27405882870109,0.12724003472042078,0.05311806527999981,0.0022958515148723134,0.0060721759679345615,0.051311345931797,1.9963999800719355e-08,0.7371640659767197
TZA,2018,36.42,17.878419796764753,0.14611144848525914,0.03895380830658223,0.0011974427791469262,0.0021751077371264978,0.042736429920007,1.4217199898935614e-08,0.3646431135879093
HRV,2018,35.78,15.18382327144768,0.1622364548055553,0.01696172909685184,0.007524241762692649,0.011951237604428759,0.0559853785126687,1.5183899884724593e-08,1.9021075263969205
