Country_ISO,Year,Population (GPWv4.11),CO Population-Weighted (ppm),VOCs Population-Weighted (ppm),SO2 Population-Weighted (ppm),NOx Population-Weighted (ppm),O3 Population-Weighted (ppm),PM Pop.-Weighted (kg m^-3),HospitalBeds,mortality_cluster
TTO,2018,14.002115063159875,0.0793743536054758,0.0065962816203456,0.0007272934579836,0.0035134436221112,0.0571451882514775,1.8639799826278932e-08,1.235471471385307,0
BLZ,2018,12.85336011145615,0.0952122377354297,0.0345723647635968,0.0006626144225677,0.0010074183836537,0.0518261901846596,1.5482199880150744e-08,0.712949807856125,0
MLT,2018,12.768569792646122,0.1041088756832148,0.001737688344719,0.0051482241232847,0.0047395465837344,0.0687799882292686,1.338439991042892e-08,1.6695918352538477,0
JAM,2018,14.818875494187711,0.1125966406419636,0.0107380828712949,0.0066393735000101,0.0065945153083781,0.0602433609211071,2.062359978733357e-08,0.9895411936137476,0
SVN,2018,14.545658947129327,0.176463276362288,0.016467275109553,0.0062783051320688,0.0164059533604793,0.0532560898463379,1.6448099864730008e-08,1.6937790608678511,0
SGP,2018,15.404649462525738,0.1614863127325484,0.0211306362782446,0.0428105552221853,0.0133992122620641,0.0601924331764127,2.667189964430488e-08,1.275362800412609,0
BRA,2018,19.13998125247005,0.1375068886081158,0.0484768265128868,0.0059857694838318,0.0080684691825025,0.046143672493889,1.457759989374679e-08,1.1939224684724346,0
ECU,2018,16.606523375653833,0.1603988643469794,0.0457302330660016,0.0014225986265637,0.0079253969090394,0.0422508588034268,1.6345199866417222e-08,0.8754687373538999,0
TON,2018,11.125752432083992,0.0495125022680593,0.0005065656739413,0.0002660536046007,2.339972622427089e-05,0.0512590171390729,6.2514499804596865e-09,1.247032293786383,0
COL,2018,17.70689457622481,0.1777538079951239,0.0564538345155554,0.002799679238111,0.0086204757005236,0.0395081412703721,2.0498499789905756e-08,1.0043016091968684,0
PRY,2018,15.72482949415539,0.1379870647330293,0.1111711613107644,0.000560768739816,0.0030684823889591,0.0395806063595009,1.1207699937193732e-08,0.6418538861723948,0
GRC,2018,16.121294192167156,0.1343086541035421,0.0100245884920409,0.0094252177578915,0.0096258742624246,0.0610649293846369,1.3295999911608192e-08,1.6486586255873816,0
VCT,2018,10.91180526221878,0.0736604994098678,0.0011151419979768,0.0010810524521745,0.000364472571802,0.0564408761925005,1.77019998433196e-08,1.4154485507724637,0
PER,2018,17.277006879865358,0.1396988047298455,0.0523535297393623,0.002945337232683,0.00720570444327,0.0409251300342371,1.346479990934958e-08,0.959350221334602,0
ARG,2018,17.608630807908703,0.1125925814132816,0.0425759923263439,0.0015584809374485,0.0099722514049902,0.0438662233229662,9.769989952273648e-09,1.545432582458188,0
MUS,2018,13.975923906281016,0.0648420369469874,0.0007674274522095,0.0009397453010339,0.0007038062702524,0.0514619531673621,8.326369965335782e-09,1.5173226235262949,0
THA,2018,18.024231288387995,0.2831140953625289,0.0566759957728403,0.0238276522785685,0.0160234796184317,0.0527039074771846,4.0501199179826425e-08,1.1314021114911006,0
DOM,2018,16.182274118846998,0.1212563070819719,0.0216450006522618,0.0027231618268885,0.0112052975084408,0.0542562773811346,2.0845099782740907e-08,0.8064758658669485,0
MDV,2018,7.967460405334763,0.0987563531038679,0.0010503362037559,0.0003706173129184,0.0001235053728974,0.0561717662665992,1.2659499919868532e-08,1.7833912195575383,0
GRD,2018,11.340319478802147,0.0735575558453111,0.001003127699132,0.0004991514032083,0.0002704044374246,0.0562067017978719,1.790149983976815e-08,1.4678743481123135,0
MEX,2018,18.689153114286587,0.2189957787864747,0.0554969584982056,0.2262602086880467,0.0221973948050366,0.0532625934562438,4.097239916063125e-08,0.6830968447064438,0
CUB,2018,16.212188084155574,0.0939386041698105,0.0121452489699053,0.0029620737249343,0.0031831464096901,0.0593973463912242,1.3726899905786107e-08,1.6467336971777973,0
SLV,2018,15.624700742420622,0.1919062275673,0.0858566942667153,0.0097910973841129,0.0154180181466531,0.0534979297046932,2.5624599671689945e-08,0.7323678937132266,0
WSM,2018,12.05783159439868,0.0500595809760251,0.0005583440969202,0.0002988233478557,8.589631080626632e-05,0.0449267178614482,5.705089983725974e-09,1.247032293786383,0
KEN,2018,17.718261977769583,0.3133632153094609,0.0440061954074832,0.0045136839846608,0.0108211327832079,0.0457821865017164,3.742449929970341e-08,0.8754687373538999,0
VEN,2018,17.27405882870109,0.1272400347204207,0.0531180652799998,0.0022958515148723,0.0060721759679345,0.051311345931797,1.9963999800719355e-08,0.7371640659767197,0
TZA,2018,17.878419796764753,0.1461114484852591,0.0389538083065822,0.0011974427791469,0.0021751077371264,0.042736429920007,1.4217199898935614e-08,0.3646431135879093,0
HRV,2018,15.18382327144768,0.1622364548055553,0.0169617290968518,0.0075242417626926,0.0119512376044287,0.0559853785126687,1.5183899884724593e-08,1.9021075263969205,0
SVK,2018,15.504179954349674,0.1555465354530664,0.009753583776959,0.0100183087406389,0.0145677551131961,0.0521775975198686,1.4135099900099474e-08,1.9021075263969205,0
LKA,2018,16.794768839912408,0.237735784128295,0.0330412392797407,0.0190176388812204,0.0126542975805025,0.0557326034811065,3.7848199283756894e-08,1.5706970841176695,0
CZE,2018,16.171086062677233,0.1655148977995018,0.0066729800626678,0.0080462638219698,0.0183607530007499,0.0528122695903387,1.6040399871352783e-08,2.0438143640366846,0
PNG,2018,15.882057685352205,0.0862303012794013,0.1099426099116065,0.0051059275379627,0.0008724023463866,0.0326341342321303,8.800949961271641e-09,1.247032293786383,0
JOR,2018,15.882884327355768,0.2632256572083697,0.0164826329933792,0.0621815221590561,0.0389376567504433,0.0589061947807281,4.3851799038509843e-08,0.8796267475025636,0
FJI,2018,13.56663182952811,0.0578755326487804,0.0090687156119581,0.0020300690148095,0.0005281754907647,0.0475637845548587,6.480779978999745e-09,1.0769507918869303,0
SUR,2018,13.221197540678734,0.0863946873756722,0.0316995858273318,0.0006092783522429,0.0002760269010695,0.0494848760874582,1.5900499873587053e-08,1.3480731482996928,0
NIC,2018,15.64533686976472,0.1001006435521768,0.0461422376948827,0.006203562057279,0.0027336172614391,0.0480035947171921,1.5564899878866945e-08,0.6678293725756554,0
TUR,2018,18.171126922878333,0.1365052791123314,0.0134122690476791,0.0084569975739715,0.0134592189836282,0.0570107087216061,1.627759986751987e-08,1.3217558399823195,0
LTU,2018,14.845764759341591,0.1456511633423506,0.0032123359197924,0.0040640834140346,0.0068504092750392,0.0545669287779943,1.1984199928189476e-08,2.005525858729668,0
LVA,2018,14.447484306451482,0.1491333893922958,0.0036239645011294,0.0030910617425037,0.0063328312277819,0.0550874213577044,1.1873899929505252e-08,1.8702625307159984,0
RUS,2018,18.790664910978176,0.1434516920861589,0.0059269200573212,0.0114216973673154,0.0198209281091109,0.0515379845648983,1.1390399935129394e-08,2.096790180014449,1
GTM,2018,16.668127006611527,0.2049958314709908,0.0852207688072346,0.0073536971694664,0.0124365366904463,0.0474172595118578,2.508039968548677e-08,0.3646431135879093,1
SYC,2018,11.101919987319764,0.0679566834962173,0.0007289252694138,0.0003449504977354,0.0001461073258048,0.0472693839016843,7.806199969531621e-09,1.3609765531356006,1
NAM,2018,14.7757824999777,0.1336226353367797,0.0555221250159367,0.0015599087095372,0.0030215136267195,0.0477236805792875,1.3207399912782292e-08,0.7701082216960736,1
MWI,2018,16.75379545905144,0.2002001627790089,0.0436157561713669,0.0018772688277307,0.00513467397011,0.0402535292740586,2.2999499735511504e-08,0.832909122935104,1
